iter	RMSE
818	0.8889728519
819	0.8889728517
820	0.888972851
821	0.888972851
822	0.8889728509
823	0.8889728496
824	0.8889728494
825	0.8889728493
826	0.8889728491
827	0.8889728485
828	0.8889728485
829	0.8889728484
830	0.8889728471
831	0.8889728463
832	0.8889728453
833	0.8889728452
834	0.8889728452
835	0.8889728451
836	0.8889728451
837	0.888972845
838	0.888972845
839	0.8889728446
840	0.8889728446
841	0.8889728444
842	0.8889728443
843	0.8889728443
844	0.8889728443
845	0.8889728431
846	0.8889728431
847	0.8889728428
848	0.8889728428
849	0.8889728428
850	0.8889728418
851	0.8889728414
852	0.8889728414
853	0.888972841
854	0.8889728408
855	0.8889728401
856	0.888972839
857	0.888972839
858	0.888972839
859	0.888972838
860	0.8889728379
861	0.8889728377
862	0.8889728377
863	0.8889728377
864	0.8889728376
865	0.8889728375
866	0.8889728372
867	0.8889728372
868	0.8889728371
869	0.888972835
870	0.8889728344
871	0.8889728343
872	0.8889728342
873	0.8889728342
874	0.8889728339
875	0.8889728333
876	0.888972833
877	0.8889728326
878	0.8889728324
879	0.8889728324
880	0.8889728323
881	0.8889728323
882	0.8889728322
883	0.888972832
884	0.8889728319
885	0.8889728318
886	0.8889728316
887	0.8889728294
888	0.8889728274
889	0.8889728273
890	0.8889728273
891	0.8889728273
892	0.8889728271
893	0.8889728254
894	0.8889728253
895	0.8889728252
896	0.8889728251
897	0.8889728251
898	0.8889728251
899	0.888972825
900	0.8889728249
901	0.8889728249
902	0.8889728241
903	0.8889728238
904	0.8889728236
905	0.8889728227
906	0.8889728227
907	0.8889728225
908	0.8889728224
909	0.8889728224
910	0.8889728221
911	0.888972822
912	0.888972821
913	0.8889728207
914	0.88897282
915	0.888972819
916	0.8889728188
917	0.8889728185
918	0.8889728185
919	0.8889728185
920	0.8889728183
921	0.8889728182
922	0.8889728177
923	0.8889728177
924	0.8889728177
925	0.8889728176
926	0.8889728174
927	0.8889728168
928	0.8889728166
929	0.8889728162
930	0.8889728161
931	0.8889728158
932	0.8889728158
933	0.8889728156
934	0.8889728155
935	0.8889728155
936	0.8889728155
937	0.8889728154
938	0.8889728154
939	0.8889728154
940	0.8889728145
941	0.8889728145
942	0.8889728145
943	0.8889728144
944	0.8889728144
945	0.8889728135
946	0.8889728127
947	0.8889728127
948	0.8889728122
949	0.8889728122
950	0.8889728113
951	0.8889728106
952	0.88897281
953	0.88897281
954	0.88897281
955	0.88897281
956	0.88897281
957	0.8889728099
958	0.8889728092
959	0.8889728092
